code_insee,nom_commune,code_dept,population,superficie_km2,densite,nb_associations_pour_mille,taux_chomage_2016,taux_chomage_2021,delta_taux_chomage,pct_sans_diplome_2016,pct_sans_diplome_2021,delta_pct_sans_diplome,pct_diplome_sup_2016,pct_diplome_sup_2021,delta_pct_diplome_sup,revenu_median_2016,revenu_median_2021,delta_revenu_median,taux_criminalite_2016,taux_criminalite_2021,delta_taux_criminalite,nb_entreprises_pour_mille_2016,nb_entreprises_pour_mille_2021,delta_nb_entreprises_pour_mille,score_ext_gauche_2017,score_ext_gauche_2022,score_gauche_2017,score_gauche_2022,score_centre_2017,score_centre_2022,score_droite_2017,score_droite_2022,score_ext_droite_2017,score_ext_droite_2022,gagnant_2017,gagnant_2022
29015,Bourg-Blanc,29,3556.0,29.0,126.0,22.86843591191417,7.5015524009114865,5.414828274514705,-2.0867241263967813,23.247287265033663,20.625234025515542,-2.62205323951812,26.671723837821915,31.19986423067323,4.528140392851316,21515.0,24150.0,2635.0,9.561304836895388,8.18746470920384,-1.3738401276915475,51.74353205849269,59.57086391869001,7.827331860197319,2.11,1.46,27.76,26.770000000000003,31.46,35.97,17.44,5.23,21.230000000000004,30.59,centre,centre
29016,Brasparts,29,1033.0,47.0,21.9,98.7535953978907,15.616224083081914,12.205489543627234,-3.4107345394546797,19.17533630572704,19.447987502254136,0.2726511965270966,34.063506918715085,29.65237786491996,-4.4111290537951255,18466.0,18790.0,324.0,0.0,0.0,0.0,59.0513068731849,79.57813998082455,20.526833107639646,3.32,1.64,33.120000000000005,33.65,26.47,25.62,14.9,6.73,22.19,32.35,gauche,gauche
29017,Brélès,29,882.0,14.0,62.2,39.53488372093023,6.570987185875936,8.002978547561534,1.4319913616855988,23.124787023352532,15.253808622224868,-7.870978401127664,26.21143372061206,31.31170608949741,5.100272368885349,21152.0,24030.0,2878.0,0.0,0.0,0.0,39.68253968253968,68.6046511627907,28.922111480251026,3.0500000000000003,1.87,27.79,28.65,25.08,33.73,19.83,4.58,24.24,31.19,gauche,centre
29018,Brennilis,29,451.0,20.0,23.8,84.0909090909091,16.666666666666632,16.67164391490091,0.004977248234276033,26.54867256637168,26.449528029577795,-0.09914453679388302,17.404129793510325,17.44766688991987,0.04353709640954406,17704.0,18100.0,396.0,0.0,0.0,0.0,55.43237250554324,77.27272727272727,21.840354767184024,4.44,2.9,42.97,35.67,13.7,22.82,14.07,1.66,24.81,36.93,gauche,ext_droite
29019,Brest,29,139342.0,49.0,2829.0,37.19407816987659,18.066731822214926,14.305090541024056,-3.7616412811908706,23.03534138869085,20.46251094354633,-2.5728304451445183,34.19071310075702,37.99909962801946,3.808386527262435,19317.0,20950.0,1633.0,66.19683943104017,60.77969330821736,-5.417146122822814,58.70448249630405,70.39156561786002,11.687083121555972,1.68,1.47,36.84,40.56,28.02,28.76,15.52,4.21,17.939999999999998,25.0,gauche,gauche
29020,Briec,29,5627.0,68.0,83.0,28.409090909090907,10.418815790014987,10.427669868787632,0.008854078772644769,27.21620568218665,27.28088414194405,0.06467845975739905,25.83838710710793,25.818449591971408,-0.01993751513652242,19702.0,21430.0,1728.0,16.527456904211835,18.25068870523416,1.723231801022326,59.88981695397192,69.90358126721763,10.013764313245709,2.78,1.7,29.01,30.56,29.9,31.96,15.33,5.02,22.98,30.78,centre,centre
29021,Plounéour-Brignogan-Plages,29,1928.0,4.0,134.6,38.14432989690722,15.289256198347106,8.570881895139877,-6.718374303207229,28.000000000000004,21.57223888689897,-6.427761113101035,25.460317460317462,33.51679207284734,8.056474612529875,20713.0,23190.0,2477.0,17.11618257261411,7.731958762886598,-9.384223809727512,61.72199170124482,76.28865979381445,14.566668092569628,1.11,1.53,25.18,28.74,29.39,36.6,26.5,7.31,17.81,25.81,centre,centre
29022,Camaret-sur-Mer,29,2586.0,13.0,218.5,52.30894973436862,16.144485724771858,16.82970489344106,0.6852191686692031,36.231938443723,28.579074458869304,-7.652863984853699,17.29964674912611,21.621745377153115,4.322098628027003,20605.0,22930.0,2325.0,28.22892498066512,18.79852881078872,-9.4303961698764,62.64501160092807,78.05476093175317,15.409749330825093,1.83,2.18,24.13,23.51,28.35,30.88,21.79,5.01,23.899999999999995,38.42,centre,ext_droite
29023,Carantec,29,3148.0,9.0,350.4,39.24598269468479,12.74426508071368,9.697019157978865,-3.047245922734815,22.75862068965517,14.985860421295817,-7.772760268359354,37.62452107279694,45.12131041486423,7.496789342067295,24953.0,28300.0,3347.0,22.87166454891995,19.777503090234852,-3.0941614586850967,74.96823379923761,92.39802224969095,17.429788450453344,0.91,0.72,21.4,27.15,30.81,41.69,35.47,8.53,11.42,21.9,droite,centre
29024,Carhaix-Plouguer,29,7240.0,26.0,278.0,65.4696132596685,14.735816847757052,13.529681063125285,-1.2061357846317673,34.59779839227854,30.78817307550153,-3.809625316777012,20.90223443279871,24.781672384084644,3.879437951285933,19548.0,20560.0,1012.0,67.26519337016575,50.69060773480663,-16.574585635359114,91.85082872928176,97.79005524861878,5.939226519337026,4.41,3.25,32.1,33.34,30.25,26.7,15.06,3.93,18.200000000000003,32.78,gauche,gauche
